post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:fb_product_set
"SIGNATURE K650",signature-k650,,75,"Dimensions
Height: 7.62 in (193.5 mm)
Width: 18.00 in (457.3 mm)
Depth: 0.94 in (24 mm)
Weight: 24.70 oz (700.23 g) w/o receiver (1.8 g) and with 2 AA Alkaline batteries (48.23g)","SIGNATURE K650 fits perfectly into your daily needs at work with upgraded shortcuts and integrated palm rest. Get the comfort you need for long hours at your desk. With a spill-resistant *, easy-to-clean design and up to 36 months of battery life **, you can move it conveniently and easily with no wires in the way.
* Up to 60 ml.
** Battery life may vary based on user and computing conditions.",publish,,0,"2022-12-23 13:59:53",1,open,57Keyb,,,no,no,30,50,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/k650-top-graphite-us.png ! alt :  ! title : k650-top-graphite-us.png ! desc :  ! caption : ",,http://localhost/ecs/product/signature-k650/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
"MX MECHANICAL",mx-mechanical,,77,"Dimensions
MX MECHANICAL
Height: 1.02 in (26.10 mm), including keycaps
Width: 17.08 in (433.85 mm)
Depth: 5.17 in (131.55 mm)
Weight: 29.20 oz (828 g)","Wireless Illuminated Performance Keyboard",publish,,0,"2022-12-23 13:59:58",1,open,58Keyb,,,no,no,30,170,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/mx-mechanical-keyboard-top-view-graphite-us.png ! alt :  ! title : mx-mechanical-keyboard-top-view-graphite-us.png ! desc :  ! caption : ",,http://localhost/ecs/product/mx-mechanical/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
"K480 KEYBOARD",k480-bluetooth-multi-device-keyboard,,79,"Dimensions
Height: 7.68 in (195 mm)
Width: 11.77 in (299 mm)
Depth: 0.79 in (20 mm)
Weight: 28.92 oz (820 g)","K480 is a comfortable and space-saving multi-device keyboard that brings better typing to your laptop, tablet or phone. With impressive durability and long battery life, this tightly designed is what everyone needs to multi-task and get more done (from anywhere)..",publish,,0,"2022-12-23 13:59:59",1,open,59Keyb,,,no,no,30,50,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/k480-gallery-white-1-new.png ! alt :  ! title : k480-gallery-white-1-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/k480-bluetooth-multi-device-keyboard/,0,simple,,"Category|Category > MICE & KEYBOARDS > iPad Keyboards|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
"MX KEYS FOR MAC",mx-keys-for-mac,,81,"Dimensions
Keyboard
Height: 5.18 in (131.63 mm)
Width: 16.94 in (430.2 mm)
Depth: 0.81 in (20.5 mm)
Weight: 28.57 oz (810 g)
Unifying USB Receiver
Height: 0.72 in (18.4 mm)
Width: 0.57 in (14.4 mm)
Depth: 0.26 in (6.6 mm)
Weight: 0.07 oz (2 g)","Advanced Wireless Illuminated Keyboard",publish,,0,"2022-12-23 14:00:01",1,open,61Keyb,,,no,no,30,120,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/us-mx-keys-for-mac-gallery-3-4-front-1.png ! alt :  ! title : us-mx-keys-for-mac-gallery-3-4-front-1.png ! desc :  ! caption : ",,http://localhost/ecs/product/mx-keys-for-mac/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
KEYS-TO-GO,keys-to-go,,83,"Dimensions
Height: 5.39 in (137 mm)
Width: 9.53 in (242 mm)
Depth: 0.24 in (6 mm)
Weight: 6.35 oz (180 g)","Ultra-light, ultra-portable Bluetooth® Keyboard for iPhone®, iPad®, Apple TV® and Mac®",publish,,0,"2022-12-23 14:00:02",1,open,62Keyb,,,no,no,30,50,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/keys-to-go-gallery-stone-01-new.png ! alt :  ! title : keys-to-go-gallery-stone-01-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/keys-to-go/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
"MX KEYS",mx-keys,,85,"Dimensions
MX Keys Keyboard
Height: 5.18 in (131.63 mm)
Width: 16.94 in (430.2 mm)
Depth: 0.81 in (20.5 mm)
Weight: 28.57 oz (810 g)","Advanced Wireless Illuminated Keyboard",publish,,0,"2022-12-23 14:00:03",1,open,63Keyb,,,no,no,30,120,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/us-mx-keys-for-mac-gallery-front.png ! alt :  ! title : us-mx-keys-for-mac-gallery-front.png ! desc :  ! caption : ",,http://localhost/ecs/product/mx-keys/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
"WIRELESS KEYBOARD K350",wireless-keyboard-k350,,86,"Dimensions
Height: 10.44 in (26.51 cm)
Width: 19.69 in (50 cm)
Depth: 3.09 in (7.84 cm)
Weight: 35.20 oz (998 g)","The K350 Wave combines a dynamic curved design with the familiarity of a straight keyboard. You’ll get the added ergonomic benefits of a cushioned palm rest and wave-shaped keyframe in a familiar keyboard layout and form factor.",publish,,0,"2022-12-23 14:00:04",1,open,64Keyb,,,no,no,30,30,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/k350-gallery-1-v3-new.png ! alt :  ! title : k350-gallery-1-v3-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/wireless-keyboard-k350/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
"ERGO K860",ergo-k860,,88,"Dimensions
Height: 9.17 in (233 mm)
Width: 17.95 in (456 mm)
Depth: 1.89 in (48 mm)
Weight: 40.92 oz (1160 g)","Introducing ERGO K860, a split ergonomic keyboard designed for better posture, less strain, and more support. You’ll type more naturally with a curved, split keyframe that improves typing posture.",publish,,0,"2022-12-23 14:00:05",1,open,65Keyb,,,no,no,30,130,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/ergo-k860-gallery-04.png ! alt :  ! title : ergo-k860-gallery-04.png ! desc :  ! caption : ",,http://localhost/ecs/product/ergo-k860/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
"K580 EDITION",k580-slim-multi-device-wireless-keyboard-chromeos-edition,,90,"Dimensions
USB Receiver
Height: 0.91 in (23.1 mm)
Width: 0.74 in (18.7 mm)
Depth: 0.24 in (6.1 mm)
Weight: 0.07 oz (2 g)","Meet the K580 Multi-Device Keyboard ChromeOS Edition. It’s the ultra-slim, compact, quiet keyboard for computers, phones or tablets with a special ChromeOS layout",publish,,0,"2022-12-23 14:00:06",1,open,66Keyb,,,no,no,30,50,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/k580-gallery-1-new.png ! alt :  ! title : k580-gallery-1-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/k580-slim-multi-device-wireless-keyboard-chromeos-edition/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
"K845 ILLUMINATED",k845-mechanical-illuminated,,92,"Dimensions
Height: 5.00 in (127 mm)
Width: 17.13 in (435 mm)
Depth: 0.26 in (6.5 mm)
Weight: 27.51 oz (780 g)
Full-size with Numpad
Cable length: 5.91 ft (1.8 m), PVC - free cable","Meet the K845 Mechanical Illuminated, the corded keyboard that melds precise mechanics with a modern aluminum design. An adjustable angle, choice of mechanical switches, and 5 backlighting options let you work comfortably for hours.",publish,,0,"2022-12-23 14:00:07",1,open,67Keyb,,,no,no,30,80,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/k845-gallery-1-new.png ! alt :  ! title : k845-gallery-1-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/k845-mechanical-illuminated/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
"K600 TV KEYBOARD",k600-tv-keyboard,,94,"Dimensions
Height: 4.61 in (117 mm)
Width: 14.45 in (367 mm)
Depth: 0.79 in (20 mm)
Weight: 17.64 oz (500 g)","K600 TV Keyboard features everything you need to navigate your Smart TV or PC connected to the TV. Search, select, and control your content with the familiar typing experience, fluid gestures of the touchpad, or the point-by-point precision of the D-Pad.",publish,,0,"2022-12-23 14:00:11",1,open,68Keyb,,,no,no,30,60,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/k600-gallery-anz-wide-1.png ! alt :  ! title : k600-gallery-anz-wide-1.png ! desc :  ! caption : ",,http://localhost/ecs/product/k600-tv-keyboard/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
"LOGITECH CRAFT",logitech-craft,,96,"Dimensions
Height: 5.87 in (149 mm)
Width: 16.93 in (430 mm)
Depth: 1.26 in (32 mm)
Weight: 33.86 oz (960 g)","Craft is a wireless keyboard with a premium typing experience and a versatile input dial that adapts to what you’re making — keeping you focused and in your creative flow.",publish,,0,"2022-12-23 14:00:12",1,open,69Keyb,,,no,no,30,170,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/craft-gallery-top-new.png ! alt :  ! title : craft-gallery-top-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/logitech-craft/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
"KEYBOARD K120",keyboard-k120,,98,"Dimensions
Height: 6.10 in (155 mm)
Width: 17.72 in (450 mm)
Depth: 0.93 in (23.5 mm)
Weight: 19.4 oz (550 g)
Cable length: 59.06 in (150 cm)","K120 Corded is reliable and durable, equipped with a number pad with an easy-to-use design that works right out of the box. Just plug in this corded keyboard via USB and go.",publish,,0,"2022-12-23 14:00:13",1,open,70Keyb,,,no,no,30,13,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/k120-gallery-01-new.png ! alt :  ! title : k120-gallery-01-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/keyboard-k120/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
"BRIO 500",brio-500,,100,"Dimensions
Webcam only
Height: 1.24 in (31.5 mm)
Width: 4.33 in (110 mm)
Depth: 1.24 in (31.5 mm)","Bring your best self to every meeting. Brio 500 ensures that you always look and sound natural in meetings so you can connect more genuinely with others.",publish,,0,"2022-12-23 14:00:14",1,open,71Webc,,,no,no,30,130,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/brio-500-gallery-offwhite-1.png ! alt :  ! title : brio-500-gallery-offwhite-1.png ! desc :  ! caption : ",,http://localhost/ecs/product/brio-500/,0,simple,,"Category|Category > STREAMING|Category > STREAMING > Webcams",BRIO|Webcams,,
"C930s PRO HD WEBCAM",c930s-pro-hd-webcam,,102,"Dimensions
Height: 1.70 in (43.3 mm)
Width: 3.70 in (94 mm)
Depth: 2.8 in (71 mm)
Weight: 5.71 oz (162 g)
USB-A cable length: 5 ft (1.5 m)","1080p business webcam perfect for mass deployment",publish,,0,"2022-12-23 14:00:15",1,open,72Webc,,,no,no,30,130,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/c930s-pro-webcam-gallery-front.png ! alt :  ! title : c930s-pro-webcam-gallery-front.png ! desc :  ! caption : ",,http://localhost/ecs/product/c930s-pro-hd-webcam/,0,simple,,"Category|Category > STREAMING|Category > STREAMING > Webcams",Webcams,,
"LOGITECH STREAMCAM",logitech-streamcam,,104,"Dimensions
Without mount
Height: 66 mm
Width: 58 mm
Depth: 48 mm
Weight: 150 g
With monitor mount
Height: 85 mm
Width: 58 mm
Depth: 48 mm
Weight: 222 g","Logitech StreamCam streams and records in full HD 1080p resolution at 60 fps, delivering stunning video content with smooth motion to every aspect of your online world.",publish,,0,"2022-12-23 14:00:16",1,open,73Webc,,,no,no,30,139,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/streamcam-gallery-1-graphite.png ! alt :  ! title : streamcam-gallery-1-graphite.png ! desc :  ! caption : ",,http://localhost/ecs/product/logitech-streamcam/,0,simple,,"Category|Category > STREAMING|Category > STREAMING > Webcams",Webcams,,
"LOGITECH BRIO STREAM",logitech-brio-stream,,106,"Webcam
Height: 27 mm
Width: 102 mm
Depth: 27 mm
Cable length: 2.2 m
Weight: 63 g
ATTACHABLE MOUNTING CLIP
Height: 19 mm
Width: 36 mm
Depth: 63 mm
Weight: 44 g","4K webcam with HDR and noise-canceling mics",publish,,0,"2022-12-23 14:00:17",1,open,74Webc,,,no,no,30,240,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/brio-gallery-2.png ! alt :  ! title : brio-gallery-2.png ! desc :  ! caption : ",,http://localhost/ecs/product/logitech-brio-stream/,0,simple,,"Category|Category > STREAMING|Category > STREAMING > Webcams",BRIO|Webcams,,
"C310 HD WEBCAM",c310-hd-webcam,,108,"Dimensions
Dimensions including fixed mounting clip
Height: 71.15 mm
Width: 31.3 mm
Depth: 25.95 mm
Cable length: 1.5 m
Weight: 71.2 g, including clip and cable","C310 HD Webcam gives you sharp, smooth video calling (720p/30fps) in a widescreen format. Automatic light correction for clearer, better conference calls.",publish,,0,"2022-12-23 14:00:18",1,open,75Webc,,,no,no,30,50,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/c310-gallery-1.png ! alt :  ! title : c310-gallery-1.png ! desc :  ! caption : ",,http://localhost/ecs/product/c310-hd-webcam/,0,simple,,"Category|Category > STREAMING|Category > STREAMING > Webcams",Webcams,,
"K360 WIRELESS KEYBOARD",k360-wireless-keyboard,,110,"Dimensions
Height: 156 mm
Width: 380 mm
Depth: 25 mm
Weight: 480 g (with batteries)","This compact wireless keyboard is ideal for narrower built and allows you to perform even in constricted workspaces. Equipped with a number pad and 12 easy access keys, you can be more productive -at home or at work.",publish,,0,"2022-12-23 14:00:19",1,open,76Keyb,,,no,no,30,40,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/k360-gallery-4-new.png ! alt :  ! title : k360-gallery-4-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/k360-wireless-keyboard/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
"K750 WIRELESS SOLAR",k750-wireless-solar-keyboard,,112,"Dimensions
Height: 158.7 mm
Width: 431.8 mm
Depth: 7.6 mm
Weight: 760 g","Meet the slim, full-sized keyboard powered by light. Designed to maximize your productivity and kick your setup into high gear, K750 features a numpad to make data entry a breeze.",publish,,0,"2022-12-23 14:00:20",1,open,77Keyb,,,no,no,30,80,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/k750-gallery-2-new.png ! alt :  ! title : k750-gallery-2-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/k750-wireless-solar-keyboard/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
"USB UNIFYING RECEIVER",usb-unifying-receiver,,114,"Dimensions
USB Receiver
Height: 15 mm
Width: 9 mm
Depth: 6 mm
Weight: 1.23 g","Connect up to 6 compatible keyboards and mice to one computer with a single Unifying receiver – and forget the hassle of multiple USB receivers.",publish,,0,"2022-12-23 14:00:24",1,open,78Keyb,,,no,no,30,11,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/usb-gallery-02.png ! alt :  ! title : usb-gallery-02.png ! desc :  ! caption : ",,http://localhost/ecs/product/usb-unifying-receiver/,0,simple,,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Keyboards,,
G715,g715,,116,,"G715 Wireless Gaming Keyboard from the Aurora Collection is a compact tenkeyless mechanical keyboard that delivers low-key vibes with high-key performance. Express yourself and play your way.",publish,,0,"2022-12-23 14:00:25",1,open,79Keyb,,,no,no,30,180,90,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/G715.png ! alt :  ! title : G715.png ! desc :  ! caption : ",,http://localhost/ecs/product/g715/,0,simple,featured,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Aurora|Keyboards,,
G735,g735,,118,,"G735 Wireless Gaming Headset from the Aurora Collection maximizes comfort for all players inclusive of smaller head sizes. Get ready for adventure with gaming-grade audio, mic, and RGB technology.",publish,,0,"2022-12-23 14:00:26",1,open,80Head,,,no,no,30,200,100,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/G735-e1671808445849.png ! alt :  ! title : G735.png ! desc :  ! caption : ",,http://localhost/ecs/product/g735/,0,simple,featured,"Category|Category > HEADSETS & SPEAKERS > Headsets & Earbuds|Category > HEADSETS & SPEAKERS","Aurora|Headsets &amp; Earbuds",,
G705,g705,,120,,"G705 Wireless Gaming Mouse from the Aurora Collection is shaped for smaller hands, contoured for comfort, and fully equipped for your best play experience yet. Dreamy aesthetic included.",publish,,0,"2022-12-23 14:00:27",1,open,81Mice,,,no,no,30,99,50,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/G705.png ! alt :  ! title : G705.png ! desc :  ! caption : ",,http://localhost/ecs/product/g705/,0,simple,featured,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Aurora|Mice,,
Aurora,aurora,,122,,"The Aurora Collection is shaped for smaller hands, contoured for comfort, and fully equipped for your best play experience yet.",publish,,0,"2022-12-23 14:00:28",1,open,82Comb,,,no,no,30,450,275,,,,,,,instock,no,no,,yes,taxable,120|116|118,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/aurora-edition.png ! alt :  ! title : aurora-edition.png ! desc :  ! caption : ",,http://localhost/ecs/product/aurora/,0,simple,featured,"Category|Category > MICE & KEYBOARDS > Combo|Category > MICE & KEYBOARDS",Aurora|Combo,,
"G PRO Mechanical Keyboard",logitech-g-pro-mechanical-keyboard-league-of-legends-edition,,124,,"We clad our tournament-tested PRO Keyboard in the iconic League of Legends colors. Compact, tenkeyless design and pro-grade tactile switches make it a powerful weapon for League of Legends and beyond.",publish,,0,"2022-12-23 14:00:29",1,open,84Keyb,,,no,no,30,129,65,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/Pro-keyboard.png ! alt :  ! title : Pro-keyboard.png ! desc :  ! caption : ",,http://localhost/ecs/product/logitech-g-pro-mechanical-keyboard-league-of-legends-edition/,0,simple,featured,"Category|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS","Keyboards|League of Legends",,
"G PRO X Gaming Headset",logitech-g-pro-x-gaming-headset-league-of-legends-edition,,126,,"Built to last with a sturdy and lightweight aluminum and steel frame. Passive noise-cancelling soft memory foam earpads come with both leatherette or breathable velour offer supreme comfort for marathon League of Legends sessions.",publish,,0,"2022-12-23 14:00:31",1,open,86Head,,,no,no,30,129,65,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/pro-headset.png ! alt :  ! title : pro-headset.png ! desc :  ! caption : ",,http://localhost/ecs/product/logitech-g-pro-x-gaming-headset-league-of-legends-edition/,0,simple,featured,"Category|Category > HEADSETS & SPEAKERS > Headsets & Earbuds|Category > HEADSETS & SPEAKERS","Headsets &amp; Earbuds|League of Legends",,
"G PRO Mouse",logitech-g-pro-wireless-gaming-mouse-league-of-legends-edition,,128,,"Our hit PRO mouse with iconic League of Legends design. Hextech Magic blue and Hextech Metal gold adorn the unrivaled performance and precision you need to succeed in the Summoner’s Rift.",publish,,0,"2022-12-23 14:00:32",1,open,87Mice,,,no,no,30,50,25,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/pro-mouse.png ! alt :  ! title : pro-mouse.png ! desc :  ! caption : ",,http://localhost/ecs/product/logitech-g-pro-wireless-gaming-mouse-league-of-legends-edition/,0,simple,featured,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS","League of Legends|Mice",,
"League of Legends Edition",league-of-legends-edition,,130,,"Hextech Magic blue and Hextech Metal gold adorn the unrivaled performance and precision you need to succeed in the Summoner’s Rift.",publish,,0,"2022-12-23 14:00:33",1,open,88Comb,,,no,no,30,260,130,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/Lol-edition.png ! alt :  ! title : Lol-edition.png ! desc :  ! caption : ",,http://localhost/ecs/product/league-of-legends-edition/,0,simple,featured,"Category|Category > MICE & KEYBOARDS > Combo|Category > MICE & KEYBOARDS","Combo|League of Legends",,
