sku,post_title,post_excerpt,post_content,post_status,regular_price,sale_price,stock_status,stock,manage_stock,weight,Images,tax:product_type,tax:product_cat,tax:product_tag
73Webc,LOGITECH STREAMCAM,"Dimensions
Without mount
Height: 66 mm
Width: 58 mm
Depth: 48 mm
Weight: 150 g
With monitor mount
Height: 85 mm
Width: 58 mm
Depth: 48 mm
Weight: 222 g","Logitech StreamCam streams and records in full HD 1080p resolution at 60 fps, delivering stunning video content with smooth motion to every aspect of your online world.",publish,139,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/streamcam-gallery-1-graphite.png,simple,Category|Category > STREAMING|Category > STREAMING > Webcams,Webcams
74Webc,LOGITECH BRIO STREAM,"Webcam
Height: 27 mm
Width: 102 mm
Depth: 27 mm
Cable length: 2.2 m
Weight: 63 g
ATTACHABLE MOUNTING CLIP
Height: 19 mm
Width: 36 mm
Depth: 63 mm
Weight: 44 g",4K webcam with HDR and noise-canceling mics,publish,240,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/brio-gallery-2.png,simple,Category|Category > STREAMING|Category > STREAMING > Webcams,Webcams|BRIO
75Webc,C310 HD WEBCAM,"Dimensions
Dimensions including fixed mounting clip
Height: 71.15 mm
Width: 31.3 mm
Depth: 25.95 mm
Cable length: 1.5 m
Weight: 71.2 g, including clip and cable","C310 HD Webcam gives you sharp, smooth video calling (720p/30fps) in a widescreen format. Automatic light correction for clearer, better conference calls.",publish,50,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/c310-gallery-1.png,simple,Category|Category > STREAMING|Category > STREAMING > Webcams,Webcams
76Keyb,K360 WIRELESS KEYBOARD,"Dimensions
Height: 156 mm
Width: 380 mm
Depth: 25 mm
Weight: 480 g (with batteries)","This compact wireless keyboard is ideal for narrower built and allows you to perform even in constricted workspaces. Equipped with a number pad and 12 easy access keys, you can be more productive -at home or at work.",publish,40,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/k360-gallery-4-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
77Keyb,K750 WIRELESS SOLAR KEYBOARD,"Dimensions
Height: 158.7 mm
Width: 431.8 mm
Depth: 7.6 mm
Weight: 760 g","Meet the slim, full-sized keyboard powered by light. Designed to maximize your productivity and kick your setup into high gear, K750 features a numpad to make data entry a breeze.",publish,80,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/k750-gallery-2-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
78Keyb,USB UNIFYING RECEIVER,"Dimensions
USB Receiver
Height: 15 mm
Width: 9 mm
Depth: 6 mm
Weight: 1.23 g",Connect up to 6 compatible keyboards and mice to one computer with a single Unifying receiver – and forget the hassle of multiple USB receivers.,publish,11,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/usb-gallery-02.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards
79Keyb,G715,,G715 Wireless Gaming Keyboard from the Aurora Collection is a compact tenkeyless mechanical keyboard that delivers low-key vibes with high-key performance. Express yourself and play your way.,publish,180,90,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/G715.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards|Aurora
80Head,G735,,"G735 Wireless Gaming Headset from the Aurora Collection maximizes comfort for all players inclusive of smaller head sizes. Get ready for adventure with gaming-grade audio, mic, and RGB technology.",publish,200,100,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/G735.png,simple,Category|Category > HEADSETS & SPEAKERS|Category > HEADSETS & SPEAKERS > Headsets & Earbuds,Headsets & Earbuds|Aurora
81Mice,G705,,"G705 Wireless Gaming Mouse from the Aurora Collection is shaped for smaller hands, contoured for comfort, and fully equipped for your best play experience yet. Dreamy aesthetic included.",publish,99,50,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/G705.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice|Aurora
82Comb,Aurora,,"The Aurora Collection is shaped for smaller hands, contoured for comfort, and fully equipped for your best play experience yet. ",publish,450,275,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/aurora-edition.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Combo,Combo|Aurora
84Keyb,Logitech G PRO Mechanical Keyboard League of Legends Edition,,"We clad our tournament-tested PRO Keyboard in the iconic League of Legends colors. Compact, tenkeyless design and pro-grade tactile switches make it a powerful weapon for League of Legends and beyond.",publish,129,65,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/Pro-keyboard.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Keyboards,Keyboards|League of Legends
86Head,Logitech G PRO X Gaming Headset League of Legends Edition,,Built to last with a sturdy and lightweight aluminum and steel frame. Passive noise-cancelling soft memory foam earpads come with both leatherette or breathable velour offer supreme comfort for marathon League of Legends sessions.,publish,129,65,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/pro-headset.png,simple,Category|Category > HEADSETS & SPEAKERS|Category > HEADSETS & SPEAKERS > Headsets & Earbuds,Headsets & Earbuds|League of Legends
87Mice,Logitech G PRO Wireless Gaming Mouse League of Legends Edition,,Our hit PRO mouse with iconic League of Legends design. Hextech Magic blue and Hextech Metal gold adorn the unrivaled performance and precision you need to succeed in the Summoner’s Rift.,publish,50,25,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/pro-mouse.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice|League of Legends
88Comb,League of Legends Edition,,Hextech Magic blue and Hextech Metal gold adorn the unrivaled performance and precision you need to succeed in the Summoner’s Rift.,publish,260,130,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/Lol-edition.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Combo,Combo|League of Legends
